ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
12,virologia,VZV (Varicela-Zoster),Transmissao,Como se transmite o VZV na infeccao primaria (varicela)?,Via respiratoria ou contato com liquido de vesiculas,dicionario-gatilhos-virologia.md
13,virologia,VZV (Varicela-Zoster),Achado,Qual o achado clinico que diferencia varicela de zoster?,"Varicela: exantema disseminado com vesicula, pustula e crosta ao mesmo tempo. Zoster: vesiculas restritas a um so dermatomo",dicionario-gatilhos-virologia.md
14,virologia,VZV (Varicela-Zoster),Vinheta (agente),Idoso com queda da imunidade desenvolve vesiculas dolorosas restritas a uma faixa unilateral do tronco. Qual o agente e o quadro?,VZV reativado - Herpes-Zoster,dicionario-gatilhos-virologia.md
15,virologia,VZV (Varicela-Zoster),Aplicado (tratamento),"Diante de exantema vesicular disseminado causado pelo VZV (varicela), com lesoes em varios estagios ao mesmo tempo, qual o tratamento?",Aciclovir,dicionario-gatilhos-virologia.md
16,virologia,EBV (Mononucleose),Categoria,A Mononucleose Infecciosa e causada por que tipo de agente?,"Virus de DNA, dupla-fita, envelopado (familia Herpesviridae)",dicionario-gatilhos-virologia.md
17,virologia,EBV (Mononucleose),Transmissao,Como se transmite o EBV?,Contato com saliva (doenca do beijo),dicionario-gatilhos-virologia.md
18,virologia,EBV (Mononucleose),Achado,Qual a triade clinica classica do EBV?,"Febre, faringite com placas e linfonodomegalia cervical, associada a baco aumentado",dicionario-gatilhos-virologia.md
19,virologia,EBV (Mononucleose),Vinheta (agente),"Jovem que compartilhou copos/beijou recentemente apresenta febre, faringite exsudativa e baco palpavel. Qual o agente?",EBV (Epstein-Barr),dicionario-gatilhos-virologia.md
20,virologia,EBV (Mononucleose),Aplicado (tratamento),"Diante de esplenomegalia por mononucleose, qual o cuidado terapeutico mais importante alem do suporte?",Evitar esforco fisico (risco de ruptura esplenica) e evitar amoxicilina,dicionario-gatilhos-virologia.md
21,virologia,CMV (Citomegalovirus),Categoria,O Citomegalovirus e um agente de que tipo?,"Virus de DNA, dupla-fita, envelopado (familia Herpesviridae)",dicionario-gatilhos-virologia.md
22,virologia,CMV (Citomegalovirus),Transmissao,Quais as vias de transmissao do CMV?,"Contato com urina, saliva ou semen; transplante de orgao ou via transplacentaria",dicionario-gatilhos-virologia.md
23,virologia,CMV (Citomegalovirus),Achado,Qual o achado do CMV congenito?,Microcefalia e surdez neurossensorial,dicionario-gatilhos-virologia.md
24,virologia,CMV (Citomegalovirus),Vinheta (agente),Recem-nascido de gestante que teve contato frequente com criancas pequenas nasce com microcefalia e surdez. Qual o agente?,CMV (Citomegalovirus congenito),dicionario-gatilhos-virologia.md
25,virologia,CMV (Citomegalovirus),Aplicado (tratamento),"Diante de retinite por Citomegalovirus (CMV) em paciente imunodeprimido grave, qual o tratamento indicado?",Ganciclovir,dicionario-gatilhos-virologia.md
26,virologia,HBV (Hepatite B),Categoria,A Hepatite B e causada por que tipo de agente?,"Virus de DNA, parcialmente dupla-fita (circular), envelopado (familia Hepadnaviridae)",dicionario-gatilhos-virologia.md
27,virologia,HBV (Hepatite B),Transmissao,Como se transmite o HBV?,"Contato sexual desprotegido, sangue contaminado (perfurocortantes) ou transmissao vertical durante o parto",dicionario-gatilhos-virologia.md
28,virologia,HBV (Hepatite B),Achado,Qual o risco da hepatite B cronica?,Evolucao para cirrose e carcinoma hepatocelular,dicionario-gatilhos-virologia.md
29,virologia,HBV (Hepatite B),Vinheta (agente),"Paciente com exposicao sexual desprotegida desenvolve hepatite aguda com icetricia que nao se resolve, tornando-se cronica. Qual o agente?",HBV (Hepatite B),dicionario-gatilhos-virologia.md
30,virologia,HBV (Hepatite B),Aplicado (tratamento),"Diante de hepatite B cronica, qual o tratamento indicado?",Tenofovir ou Entecavir,dicionario-gatilhos-virologia.md
31,virologia,HPV,Categoria,O HPV e um agente de que tipo?,"Virus de DNA, dupla-fita, nao envelopado (familia Papillomaviridae)",dicionario-gatilhos-virologia.md
32,virologia,HPV,Transmissao,Como se transmite o HPV?,Contato sexual desprotegido ou contato direto pele a pele com verrugas,dicionario-gatilhos-virologia.md
33,virologia,HPV,Achado,Qual a manifestacao do HPV em cepas oncogenicas?,Cancer de colo de utero,dicionario-gatilhos-virologia.md
34,virologia,HPV,Vinheta (agente),Paciente sexualmente ativa apresenta verrugas genitais com aspecto de couve-flor (condiloma). Qual o agente?,HPV (Papilomavirus Humano),dicionario-gatilhos-virologia.md
35,virologia,HPV,Aplicado (tratamento),"Diante de verrugas genitais (condiloma) causadas pelo HPV, qual a conduta terapeutica?",Cauterizacao ou excisao das lesoes,dicionario-gatilhos-virologia.md
36,virologia,Adenovirus,Categoria,O Adenovirus e um agente de que tipo?,"Virus de DNA, dupla-fita, nao envelopado (familia Adenoviridae)",dicionario-gatilhos-virologia.md
37,virologia,Adenovirus,Transmissao,Como se transmite o Adenovirus?,"Via respiratoria, via fecal-oral (piscinas com cloracao inadequada) ou contato com secrecao ocular",dicionario-gatilhos-virologia.md
38,virologia,Adenovirus,Achado,Qual o achado clinico mais caracteristico do Adenovirus?,"Ceratoconjuntivite epidemica (olho vermelho, dor e lacrimejamento)",dicionario-gatilhos-virologia.md
39,virologia,Adenovirus,Vinheta (agente),Crianca que frequenta piscina publica desenvolve conjuntivite intensa com olho vermelho e dor. Qual o agente?,Adenovirus,dicionario-gatilhos-virologia.md
40,virologia,Adenovirus,Aplicado (tratamento),"Diante de ceratoconjuntivite epidemica por Adenovirus, qual o tratamento?",Suporte e hidratacao (sem antiviral especifico de rotina),dicionario-gatilhos-virologia.md
41,virologia,Poxvirus (Variola/Mpox),Categoria,O Mpox e causado por que tipo de agente?,"Virus de DNA, dupla-fita, envelopado (familia Poxviridae)",dicionario-gatilhos-virologia.md
42,virologia,Poxvirus (Variola/Mpox),Transmissao,Como se transmite o Mpox?,"Contato direto pele a pele com lesoes, goticulas respiratorias pesadas ou fomites contaminados",dicionario-gatilhos-virologia.md
43,virologia,Poxvirus (Variola/Mpox),Achado,Qual o achado clinico do Mpox?,"Lesoes cutaneas evoluindo de mancha a pustula profunda ate crosta, com linfonodo doloroso",dicionario-gatilhos-virologia.md
44,virologia,Poxvirus (Variola/Mpox),Vinheta (agente),"Paciente com contato intimo recente desenvolve lesoes de pele que evoluem de mancha a pustula profunda, junto com linfonodos dolorosos. Qual o agente?",Poxvirus (Mpox),dicionario-gatilhos-virologia.md
45,virologia,Poxvirus (Variola/Mpox),Aplicado (tratamento),"Diante de Mpox grave, qual o tratamento disponivel?",Suporte; Tecovirimat nos casos graves,dicionario-gatilhos-virologia.md
46,virologia,Molusco Contagioso,Categoria,O Molusco Contagioso e causado por que tipo de agente?,"Virus de DNA, dupla-fita, envelopado (familia Poxviridae)",dicionario-gatilhos-virologia.md
47,virologia,Molusco Contagioso,Transmissao,Como se transmite o Molusco Contagioso?,"Contato direto pele a pele, fomites (toalhas) ou via sexual",dicionario-gatilhos-virologia.md
48,virologia,Molusco Contagioso,Achado,Qual o achado clinico do Molusco Contagioso?,"Papulas ceroides umbilicadas (com covinha central), indolores",dicionario-gatilhos-virologia.md
49,virologia,Molusco Contagioso,Vinheta (agente),Crianca que compartilhou toalha em academia/piscina desenvolve papulas ceroides indolores com uma covinha no centro. Qual o agente?,Virus do Molusco Contagioso,dicionario-gatilhos-virologia.md
50,virologia,Molusco Contagioso,Aplicado (tratamento),"Diante de papulas umbilicadas do Molusco Contagioso, qual a conduta terapeutica?","Curetagem, crioterapia ou acido latico topico",dicionario-gatilhos-virologia.md
51,virologia,Virus da Raiva,Categoria,A Raiva e causada por que tipo de agente?,"Virus de RNA, fita simples de sentido negativo, envelopado (familia Rhabdoviridae)",dicionario-gatilhos-virologia.md
52,virologia,Virus da Raiva,Transmissao,Como se transmite o virus da Raiva?,"Mordedura, arranhadura ou lambedura de animal infectado",dicionario-gatilhos-virologia.md
53,virologia,Virus da Raiva,Achado,Qual o achado patognomonico da fase neurologica da Raiva?,Hidrofobia: espasmos dolorosos ao tentar engolir liquidos,dicionario-gatilhos-virologia.md
54,virologia,Virus da Raiva,Vinheta (agente),Paciente mordido por morcego meses atras desenvolve agressividade e espasmos dolorosos ao tentar beber agua. Qual o agente?,Virus da Raiva,dicionario-gatilhos-virologia.md
55,virologia,Virus da Raiva,Aplicado (tratamento),"Diante de exposicao recente a mordedura de animal suspeito de raiva, antes dos sintomas, qual a conduta?","Lavagem da ferida, soro/imunoglobulina antirrabica e vacina antirrabica",dicionario-gatilhos-virologia.md
56,virologia,Virus do Sarampo,Categoria,O Sarampo e causado por que tipo de agente?,"Virus de RNA, fita simples de sentido negativo, envelopado (familia Paramyxoviridae)",dicionario-gatilhos-virologia.md
57,virologia,Virus do Sarampo,Transmissao,Como se transmite o virus do Sarampo?,Via respiratoria (altissima contagiosidade),dicionario-gatilhos-virologia.md
58,virologia,Virus do Sarampo,Achado,Qual o achado patognomonico do Sarampo antes do exantema?,Manchas de Koplik na mucosa oral,dicionario-gatilhos-virologia.md
59,virologia,Virus do Sarampo,Vinheta (agente),Crianca nao vacinada apresenta manchas brancas na mucosa oral seguidas por exantema que comeca atras da orelha e desce pelo corpo. Qual o agente?,Virus do Sarampo,dicionario-gatilhos-virologia.md
60,virologia,Virus do Sarampo,Aplicado (tratamento),"Diante do Sarampo, qual a conduta terapeutica especifica alem do suporte?",Vitamina A em altas doses,dicionario-gatilhos-virologia.md
61,virologia,Influenza A,Categoria,A gripe (Influenza) e causada por que tipo de agente?,"Virus de RNA, fita simples de sentido negativo, segmentado, envelopado (familia Orthomyxoviridae)",dicionario-gatilhos-virologia.md
62,virologia,Influenza A,Transmissao,Como se transmite o virus Influenza?,Via respiratoria (goticulas) ou fomites,dicionario-gatilhos-virologia.md
63,virologia,Influenza A,Achado,Qual o achado clinico tipico da Influenza?,Febre alta subita associada a dor no corpo intensa (mialgia),dicionario-gatilhos-virologia.md
64,virologia,Influenza A,Vinheta (agente),Paciente com febre subita alta e dor muscular generalizada intensa procura atendimento no inverno. Qual o agente mais provavel?,Virus Influenza A,dicionario-gatilhos-virologia.md
65,virologia,Influenza A,Aplicado (tratamento),"Diante de Influenza nas primeiras 48 horas de sintomas, qual o tratamento?",Oseltamivir (Tamiflu),dicionario-gatilhos-virologia.md
66,virologia,Hantavirus,Categoria,O Hantavirus e um agente de que tipo?,"Virus de RNA, fita simples de sentido negativo, segmentado, envelopado (ordem Bunyavirales)",dicionario-gatilhos-virologia.md
67,virologia,Hantavirus,Transmissao,Como se transmite o Hantavirus?,Inalacao de poeira com particulas virais de fezes/urina/saliva secas de roedor silvestre,dicionario-gatilhos-virologia.md
68,virologia,Hantavirus,Achado,Qual o quadro grave causado pelo Hantavirus?,Edema pulmonar agudo bilateral e choque,dicionario-gatilhos-virologia.md
69,virologia,Hantavirus,Vinheta (agente),Trabalhador rural que limpou galpao fechado ha meses desenvolve febre seguida de edema pulmonar grave e choque. Qual o agente?,Hantavirus,dicionario-gatilhos-virologia.md
70,virologia,Hantavirus,Aplicado (tratamento),"Diante da Sindrome Cardiopulmonar por Hantavirus, qual o tratamento?",Suporte intensivo em UTI (sem antiviral especifico),dicionario-gatilhos-virologia.md
71,virologia,HAV (Hepatite A),Categoria,A Hepatite A e causada por que tipo de agente?,"Virus de RNA, fita simples de sentido positivo, nao envelopado (familia Picornaviridae)",dicionario-gatilhos-virologia.md
72,virologia,HAV (Hepatite A),Transmissao,Como se transmite o virus da Hepatite A?,Via fecal-oral (agua ou alimentos contaminados),dicionario-gatilhos-virologia.md
73,virologia,HAV (Hepatite A),Achado,Qual a evolucao tipica da Hepatite A?,"Hepatite aguda com icetricia, autolimitada, sem cronificar",dicionario-gatilhos-virologia.md
74,virologia,HAV (Hepatite A),Vinheta (agente),"Paciente que ingeriu frutos do mar crus desenvolve febre, nausea e icetricia que se resolve sozinha semanas depois. Qual o agente?",HAV (Hepatite A),dicionario-gatilhos-virologia.md
75,virologia,HAV (Hepatite A),Aplicado (tratamento),Qual a principal medida de prevencao especifica contra a Hepatite A?,Vacina,dicionario-gatilhos-virologia.md
76,virologia,HCV (Hepatite C),Categoria,A Hepatite C e causada por que tipo de agente?,"Virus de RNA, fita simples de sentido positivo, envelopado (familia Flaviviridae)",dicionario-gatilhos-virologia.md
77,virologia,HCV (Hepatite C),Transmissao,Como se transmite o virus da Hepatite C?,"Contato com sangue contaminado (agulhas, transfusao antes de 1993)",dicionario-gatilhos-virologia.md
78,virologia,HCV (Hepatite C),Achado,Qual a evolucao tipica da Hepatite C?,"Cronifica em 80% dos casos, evoluindo a cirrose e cancer de figado",dicionario-gatilhos-virologia.md
79,virologia,HCV (Hepatite C),Vinheta (agente),Usuario de drogas injetaveis que compartilha agulhas desenvolve hepatite silenciosa que se torna cronica ao longo dos anos. Qual o agente?,HCV (Hepatite C),dicionario-gatilhos-virologia.md
80,virologia,HCV (Hepatite C),Aplicado (tratamento),"Diante da Hepatite C cronica, qual o tratamento atual e sua taxa de cura?",Sofosbuvir associado a outro antiviral de acao direta; cura acima de 95%,dicionario-gatilhos-virologia.md
81,virologia,HIV/Aids,Categoria,O HIV e um agente de que tipo?,"Virus de RNA, fita simples de sentido positivo (retrovirus), envelopado (familia Retroviridae)",dicionario-gatilhos-virologia.md
82,virologia,HIV/Aids,Transmissao,Como se transmite o HIV?,"Contato sexual desprotegido, sangue contaminado (agulhas) ou transmissao vertical (gestacao, parto ou amamentacao)",dicionario-gatilhos-virologia.md
83,virologia,HIV/Aids,Achado,O que caracteriza a fase de Aids?,"Queda de CD4+ abaixo de 200, levando a infeccoes oportunistas (Pneumocystis, Kaposi, candidiase esofagica)",dicionario-gatilhos-virologia.md
84,virologia,HIV/Aids,Vinheta (agente),Paciente com exposicao sexual desprotegida anos atras apresenta hoje pneumonia por Pneumocystis e candidiase esofagica. Qual o agente de base?,HIV (fase de Aids),dicionario-gatilhos-virologia.md
85,virologia,HIV/Aids,Aplicado (tratamento),"Diante do HIV, qual o tratamento e por que ele nao cura a infeccao?",Terapia Antirretroviral (TARV) continua; nao cura porque o DNA pro-viral fica integrado ao cromossomo da celula,dicionario-gatilhos-virologia.md
86,virologia,Virus da Caxumba,Categoria,A Caxumba e causada por que tipo de agente?,"Virus de RNA fita simples negativa, envelopado (familia Paramyxoviridae)",dicionario-gatilhos-virologia.md
87,virologia,Virus da Caxumba,Transmissao,Como se transmite o virus da Caxumba?,Goticulas respiratorias ou contato direto com saliva contaminada,dicionario-gatilhos-virologia.md
88,virologia,Virus da Caxumba,Achado,Qual o achado clinico mais caracteristico da Caxumba?,"Parotite aguda uni ou bilateral (tumefacao dolorosa das parotidas), com risco de orquite em pos-puberes",dicionario-gatilhos-virologia.md
89,virologia,Virus da Caxumba,Vinheta (agente),"Adolescente nao vacinado desenvolve tumefacao dolorosa bilateral das glandulas parotidas e, dias depois, dor testicular intensa. Qual o agente?",Virus da Caxumba (com orquite),dicionario-gatilhos-virologia.md
90,virologia,Virus da Caxumba,Aplicado (tratamento),"Diante da Caxumba, qual a conduta e a medida mais importante para evitar a complicacao testicular?",Suporte clinico e repouso fisico absoluto (reduz risco de orquite); nao ha antiviral especifico,dicionario-gatilhos-virologia.md
91,virologia,Virus da Rubeola,Categoria,A Rubeola e causada por que tipo de agente?,"Virus de RNA fita simples positiva, envelopado (familia Togaviridae)",dicionario-gatilhos-virologia.md
92,virologia,Virus da Rubeola,Transmissao,"Como se transmite o virus da Rubeola, incluindo a forma congenita?",Via respiratoria (goticulas) na forma pos-natal; via transplacentaria da gestante nao imune para o feto na forma congenita,dicionario-gatilhos-virologia.md
93,virologia,Virus da Rubeola,Achado,Qual a triade classica da Sindrome da Rubeola Congenita?,"Surdez neurossensorial, catarata congenita e cardiopatia congenita (persistencia do canal arterial)",dicionario-gatilhos-virologia.md
94,virologia,Virus da Rubeola,Vinheta (agente),"Recem-nascido de mae que teve infeccao viral no primeiro trimestre da gestacao apresenta surdez, catarata e cardiopatia congenita. Qual o agente?",Virus da Rubeola (Sindrome da Rubeola Congenita),dicionario-gatilhos-virologia.md
95,virologia,Virus da Rubeola,Aplicado (tratamento),Existe tratamento antiviral para a Rubeola? Como se previne?,"Nao ha antiviral especifico; prevencao e pela vacina SCR, contraindicada em gestantes (virus vivo atenuado)",dicionario-gatilhos-virologia.md
96,virologia,Virus da Febre Amarela,Categoria,A Febre Amarela e causada por que tipo de agente?,"Virus de RNA fita simples positiva, envelopado (familia Flaviviridae, genero Flavivirus)",dicionario-gatilhos-virologia.md
97,virologia,Virus da Febre Amarela,Transmissao,Como se transmite o virus da Febre Amarela?,Picada de mosquito Aedes aegypti (ciclo urbano) ou Haemagogus/Sabethes (ciclo silvestre),dicionario-gatilhos-virologia.md
98,virologia,Virus da Febre Amarela,Achado,Qual o achado clinico grave e caracteristico da fase toxica da Febre Amarela?,"Ictericia acentuada, vomito escuro (hemorragia digestiva) e oliguria por falencia renal aguda",dicionario-gatilhos-virologia.md
99,virologia,Virus da Febre Amarela,Vinheta (agente),"Paciente sem vacinacao previa, apos viagem a area de mata, desenvolve ictericia, vomito com sangue digerido e oliguria. Qual o agente?",Virus da Febre Amarela,dicionario-gatilhos-virologia.md
100,virologia,Virus da Febre Amarela,Aplicado (tratamento),Existe antiviral para a Febre Amarela? Qual a principal medida de prevencao?,"Nao ha antiviral especifico, tratamento e de suporte critico; prevencao e pela vacina de virus vivo atenuado (dose unica, SUS)",dicionario-gatilhos-virologia.md
101,virologia,Virus da Dengue,Categoria,A Dengue e causada por que tipo de agente?,"Virus de RNA fita simples positiva, envelopado (familia Flaviviridae), com 4 sorotipos (DENV 1 a 4)",dicionario-gatilhos-virologia.md
102,virologia,Virus da Dengue,Transmissao,Como se transmite o virus da Dengue?,Picada da femea do mosquito Aedes aegypti (ciclo urbano),dicionario-gatilhos-virologia.md
103,virologia,Virus da Dengue,Achado,Qual o achado que diferencia a Dengue Grave da Dengue classica?,Trombocitopenia grave (abaixo de 100.000/mm3) com extravasamento plasmatico e hemorragias espontaneas,dicionario-gatilhos-virologia.md
104,virologia,Virus da Dengue,Vinheta (agente),"Paciente com febre alta, dor retro-orbitaria e mialgia intensa evolui, apos a febre ceder, com queda abrupta de plaquetas e sangramento. Qual o agente?",Virus da Dengue (forma grave),dicionario-gatilhos-virologia.md
105,virologia,Virus da Dengue,Aplicado (tratamento),"Diante da Dengue, o que e terminantemente contraindicado no tratamento sintomatico e por que?","AAS (aspirina) e anti-inflamatorios nao esteroides (AINEs), pelo risco de sangramento por disfuncao plaquetaria",dicionario-gatilhos-virologia.md
106,virologia,Coronavirus (COVID-19),Categoria,O Coronavirus (SARS-CoV-2) e um agente de que tipo?,"Virus de RNA fita simples positiva, envelopado, com espiculas Spike (familia Coronaviridae)",dicionario-gatilhos-virologia.md
107,virologia,Coronavirus (COVID-19),Transmissao,Como se transmite o SARS-CoV-2?,Via respiratoria (goticulas e aerossois) e contato com fomites contaminados,dicionario-gatilhos-virologia.md
108,virologia,Coronavirus (COVID-19),Achado,Qual o achado grave caracteristico da COVID-19 nos casos graves?,"Sindrome do Desconforto Respiratorio Agudo (SDRA), com hipoxemia severa e microtrombose vascular",dicionario-gatilhos-virologia.md
109,virologia,Coronavirus (COVID-19),Vinheta (agente),"Paciente idoso com comorbidades desenvolve quadro respiratorio grave com hipoxemia progressiva, infiltrado pulmonar bilateral e fenomenos tromboembolicos. Qual o agente mais provavel?",SARS-CoV-2 (COVID-19),dicionario-gatilhos-virologia.md
110,virologia,Coronavirus (COVID-19),Aplicado (tratamento),"Diante da COVID-19 grave, quais classes de farmacos sao usadas para conter a tempestade de citocinas e a microtrombose?","Corticosteroide (Dexametasona) e anticoagulante (Heparina), alem de suporte respiratorio",dicionario-gatilhos-virologia.md
111,virologia,Rinovirus,Categoria,O Rinovirus e um agente de que tipo?,"Virus de RNA fita simples positiva, sem envelope (familia Picornaviridae), com mais de 100 sorotipos",dicionario-gatilhos-virologia.md
112,virologia,Rinovirus,Transmissao,Como se transmite o Rinovirus?,Goticulas respiratorias de curto alcance ou contato com fomites contaminados,dicionario-gatilhos-virologia.md
113,virologia,Rinovirus,Achado,Qual o quadro clinico mais caracteristico do Rinovirus?,"Resfriado comum: rinorreia, congestao nasal, espirros e tosse seca, geralmente sem febre",dicionario-gatilhos-virologia.md
114,virologia,Rinovirus,Vinheta (agente),"Paciente desenvolve coriza abundante, espirros e congestao nasal sem febre significativa, com resolucao espontanea em cerca de 7 dias. Qual o agente mais provavel?",Rinovirus,dicionario-gatilhos-virologia.md
115,virologia,Rinovirus,Aplicado (tratamento),Por que nao existe vacina eficaz contra o Rinovirus e qual a conduta terapeutica?,"Existem mais de 100 sorotipos distintos, o que inviabiliza uma vacina; a conduta e sintomatica (hidratacao, lavagem nasal, analgesicos)",dicionario-gatilhos-virologia.md
116,micologia,Malassezia spp. (Pitiriase Versicolor),Categoria,A Pitiriase Versicolor e causada por que tipo de agente?,Fungo (micose superficial) - Malassezia spp.,dicionario-gatilhos-micologia.md
117,micologia,Malassezia spp. (Pitiriase Versicolor),Transmissao,A Pitiriase Versicolor e transmitida de pessoa a pessoa?,"Nao; e endogena, o fungo ja reside na pele normal e prolifera com calor, oleosidade e umidade",dicionario-gatilhos-micologia.md
118,micologia,Malassezia spp. (Pitiriase Versicolor),Achado,Qual o achado clinico da Pitiriase Versicolor?,Manchas claras ou escuras na pele,dicionario-gatilhos-micologia.md
119,micologia,Malassezia spp. (Pitiriase Versicolor),Vinheta (agente),"Paciente em clima quente e umido, sem contato com outras pessoas doentes, desenvolve manchas de cor alterada no tronco. Qual o agente?",Malassezia spp.,dicionario-gatilhos-micologia.md
120,micologia,Malassezia spp. (Pitiriase Versicolor),Aplicado (tratamento),"Diante da Pitiriase Versicolor, qual o tratamento?",Antifungico topico,dicionario-gatilhos-micologia.md
121,micologia,Hortaea werneckii (Tinea Nigra),Categoria,A Tinea Nigra e causada por que tipo de agente?,Fungo (micose superficial) - Hortaea werneckii,dicionario-gatilhos-micologia.md
122,micologia,Hortaea werneckii (Tinea Nigra),Transmissao,Como se adquire a Tinea Nigra?,Contato com solo/madeira em decomposicao de regiao tropical,dicionario-gatilhos-micologia.md
123,micologia,Hortaea werneckii (Tinea Nigra),Achado,Qual o achado clinico da Tinea Nigra?,Mancha escura e plana na palma da mao ou pe,dicionario-gatilhos-micologia.md
124,micologia,Hortaea werneckii (Tinea Nigra),Vinheta (agente),"Paciente de regiao tropical que trabalha com solo/madeira apresenta mancha escura e plana na palma da mao, sem coceira. Qual o agente?",Hortaea werneckii (Tinea Nigra),dicionario-gatilhos-micologia.md
125,micologia,Hortaea werneckii (Tinea Nigra),Aplicado (tratamento),"Diante da Tinea Nigra, qual o tratamento?",Antifungico topico,dicionario-gatilhos-micologia.md
126,micologia,Piedraia hortae (Piedra Negra),Categoria,A Piedra Negra e causada por que tipo de agente?,Fungo (micose superficial) - Piedraia hortae,dicionario-gatilhos-micologia.md
127,micologia,Piedraia hortae (Piedra Negra),Transmissao,Como se adquire a Piedra Negra?,Contato com agua de rio ou solo umido,dicionario-gatilhos-micologia.md
128,micologia,Piedraia hortae (Piedra Negra),Achado,Qual o achado clinico da Piedra Negra?,Nodulos pretos e duros aderidos ao fio de cabelo,dicionario-gatilhos-micologia.md
129,micologia,Piedraia hortae (Piedra Negra),Vinheta (agente),"Paciente que frequenta rios de regiao tropical apresenta nodulos pretos e duros no cabelo, sem sinais de inflamacao. Qual o agente?",Piedraia hortae (Piedra Negra),dicionario-gatilhos-micologia.md
130,micologia,Piedraia hortae (Piedra Negra),Aplicado (tratamento),"Diante da Piedra Negra, qual o tratamento?",Corte do cabelo afetado e xampu antifungico,dicionario-gatilhos-micologia.md
131,micologia,Trichosporon spp. (Piedra Branca),Categoria,A Piedra Branca e causada por que tipo de agente?,Fungo (micose superficial) - Trichosporon spp.,dicionario-gatilhos-micologia.md
132,micologia,Trichosporon spp. (Piedra Branca),Transmissao,Como se adquire a Piedra Branca?,Umidade e ma higiene nos pelos do corpo,dicionario-gatilhos-micologia.md
133,micologia,Trichosporon spp. (Piedra Branca),Achado,Qual o achado clinico da Piedra Branca?,Nodulos esbranquicados e macios ao redor do pelo,dicionario-gatilhos-micologia.md
134,micologia,Trichosporon spp. (Piedra Branca),Vinheta (agente),"Paciente com pouca higiene e umidade constante nos pelos apresenta nodulos esbranquicados e macios, confundidos com lendeas. Qual o agente?",Trichosporon spp. (Piedra Branca),dicionario-gatilhos-micologia.md
135,micologia,Trichosporon spp. (Piedra Branca),Aplicado (tratamento),"Diante da Piedra Branca, qual o tratamento?",Raspar o pelo afetado e xampu antifungico,dicionario-gatilhos-micologia.md
136,micologia,"Dermatofitos (Trichophyton, Microsporum, Epidermophyton)",Categoria,As dermatofitoses sao causadas por que tipo de agente?,"Fungo (micose cutanea) - dermatofitos (Trichophyton, Microsporum, Epidermophyton)",dicionario-gatilhos-micologia.md
137,micologia,"Dermatofitos (Trichophyton, Microsporum, Epidermophyton)",Transmissao,Quais as tres fontes de transmissao dos dermatofitos?,"Pessoa infectada, solo contaminado ou animal domestico",dicionario-gatilhos-micologia.md
138,micologia,"Dermatofitos (Trichophyton, Microsporum, Epidermophyton)",Achado,Qual a lesao classica dos dermatofitos na pele lisa?,Lesao circular avermelhada em anel que coca (impingem),dicionario-gatilhos-micologia.md
