ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
22,virologia,Estrutura do Virion,Vinheta (estrutura),"Ao microscopio eletronico, um virus aparece com capsideo de 20 faces triangulares e 12 vertices. Que tipo de simetria e essa, e qual um exemplo desse grupo?",Simetria poliedrica (icosaedrica); exemplo: Adenovirus.,biologia-fundamental-virus.md
23,virologia,Estrutura do Virion,Conceito,"O que caracteriza um virus complexo, e um exemplo?","Estruturas extras acopladas ao capsideo, sem simetria pura (ex.: Poxvirus, bacteriofago T4).",biologia-fundamental-virus.md
24,virologia,Genoma Viral e Baltimore,Conceito,Por que os virus sao organizados pela Classificacao de Baltimore?,"Porque cada tipo de genoma viral exige uma estrategia diferente para produzir RNA mensageiro (RNAm), que e o que a celula consegue ler.",biologia-fundamental-virus.md
25,virologia,Genoma Viral e Baltimore,Conceito,O que significa dizer que o genoma de um virus e segmentado?,"E dividido em varias moleculas separadas dentro do mesmo virus (ex.: Influenza), o que facilita a troca de pedacos do genoma quando dois virus diferentes infectam a mesma celula.",VIROLOGIA_GERAL.md
26,virologia,Genoma Viral e Baltimore,Conceito,O que e RNA de sentido positivo (+ssRNA)?,"RNA que ja funciona diretamente como RNA mensageiro, podendo virar proteina de imediato.",biologia-fundamental-virus.md
27,virologia,Genoma Viral e Baltimore,Conceito,"O que e RNA de sentido negativo (-ssRNA), e por que ele nao pode virar proteina direto?","RNA que funciona como molde; precisa primeiro ser copiado numa fita de sentido positivo por uma enzima que o proprio virus carrega, antes de virar proteina.",biologia-fundamental-virus.md
28,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe I de Baltimore, e exemplos?","DNA fita dupla; Herpesvirus, Adenovirus, HPV.",biologia-fundamental-virus.md
29,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe II de Baltimore, e um exemplo?",DNA fita simples; Parvovirus B19.,biologia-fundamental-virus.md
30,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe III de Baltimore, e um exemplo?",RNA fita dupla; Rotavirus.,biologia-fundamental-virus.md
31,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe IV de Baltimore, e exemplos?","RNA fita simples de sentido positivo; Dengue, Zika, SARS-CoV-2, Poliovirus.",biologia-fundamental-virus.md
32,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe V de Baltimore, e exemplos?","RNA fita simples de sentido negativo; Influenza, Raiva, Sarampo, Ebola.",biologia-fundamental-virus.md
33,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe VI de Baltimore, e exemplos?",RNA fita simples; HIV e HTLV.,biologia-fundamental-virus.md
34,virologia,Genoma Viral e Baltimore,Conceito,Por que o genoma da Classe VI de Baltimore precisa de um passo extra antes de se multiplicar?,"Uma enzima viral copia o RNA em DNA, que se integra ao genoma da celula hospedeira.",biologia-fundamental-virus.md
35,virologia,Genoma Viral e Baltimore,Conceito,"Qual o tipo de material genetico da Classe VII de Baltimore, e um exemplo?",DNA fita dupla parcial (incompleta); Hepatite B.,biologia-fundamental-virus.md
36,virologia,Genoma Viral e Baltimore,Conceito,"Por que o genoma da Classe VII de Baltimore e chamado de ""parcial""?",Porque passa por uma etapa de RNA intermediario antes de formar o DNA definitivo da particula.,biologia-fundamental-virus.md
37,virologia,Genoma Viral e Baltimore,Conceito,Que criterios gerais sao usados para classificar um virus (alem do tipo de genoma)?,"Simetria do capsideo, presenca ou nao de envelope, e estrategia de replicacao.",VIROLOGIA_GERAL.md
38,virologia,Ciclo de Bacteriofagos,Conceito,O que sao bacteriofagos?,Virus que infectam bacterias.,biologia-fundamental-virus.md
39,virologia,Ciclo de Bacteriofagos,Conceito,Quais os dois ciclos alternativos de vida dos bacteriofagos?,Ciclo litico e ciclo lisogenico.,biologia-fundamental-virus.md
40,virologia,Ciclo de Bacteriofagos,Conceito,O que acontece no ciclo litico?,"O fago se multiplica dentro da bacteria e a rompe (lise), liberando novos virus e matando a bacteria.",biologia-fundamental-virus.md
41,virologia,Ciclo de Bacteriofagos,Conceito,O que acontece no ciclo lisogenico?,"O DNA do fago se integra ao cromossomo da bacteria (formando um profago) e e copiado silenciosamente a cada divisao bacteriana, sem matar a celula.",biologia-fundamental-virus.md
42,virologia,Ciclo de Bacteriofagos,Conceito,O que pode fazer um profago sair do estado silencioso e iniciar o ciclo litico?,Sinais de estresse celular (ex.: radiacao ultravioleta).,biologia-fundamental-virus.md
43,virologia,Ciclo de Bacteriofagos,Conceito,Como se chama a enzima que o fago usa para romper a parede da bacteria na etapa de liberacao?,Lisozima.,VIROLOGIA_GERAL.md
44,virologia,Ciclo de Bacteriofagos,Conceito,"O que sao placas de lise, e para que servem em laboratorio?","Areas circulares transparentes numa cultura de bacterias, onde os fagos as destruiram; usadas para visualizar e contar virus.",VIROLOGIA_GERAL.md
45,virologia,Ciclo de Bacteriofagos,Conceito,O que e a Terapia Fagica?,Uso de bacteriofagos liticos para combater bacterias multirresistentes a antibioticos.,biologia-fundamental-virus.md
46,virologia,Multiplicacao em Celulas Animais,Conceito,"O que e adsorcao, na multiplicacao viral?",A ligacao do virus a receptores especificos na celula hospedeira.,biologia-fundamental-virus.md
47,virologia,Multiplicacao em Celulas Animais,Conceito,O que e suscetibilidade celular?,A celula ter o receptor compativel que permite a entrada do virus.,biologia-fundamental-virus.md
48,virologia,Multiplicacao em Celulas Animais,Conceito,O que e permissividade celular?,"A celula ter as condicoes internas necessarias para o virus se multiplicar com sucesso, mesmo depois de entrar.",biologia-fundamental-virus.md
49,virologia,Multiplicacao em Celulas Animais,Conceito,Quais os dois mecanismos de penetracao do virus na celula animal?,Endocitose mediada por receptor e fusao do envelope com a membrana celular.,biologia-fundamental-virus.md
50,virologia,Multiplicacao em Celulas Animais,Conceito,Qual mecanismo de penetracao e exclusivo de virus envelopados?,Fusao do envelope viral com a membrana da celula.,biologia-fundamental-virus.md
51,virologia,Multiplicacao em Celulas Animais,Conceito,O que e o desnudamento viral?,A remocao do capsideo para liberar o genoma dentro da celula.,biologia-fundamental-virus.md
52,virologia,Multiplicacao em Celulas Animais,Conceito,"O que e o periodo de eclipse, no ciclo de replicacao viral?","Fase em que nenhum virus infeccioso e detectavel fora da celula, porque as pecas ainda estao sendo sintetizadas dentro dela.",VIROLOGIA_GERAL.md
53,virologia,Multiplicacao em Celulas Animais,Conceito,Onde os virus de DNA costumam se replicar dentro da celula?,"No nucleo (excecao: Poxvirus, que se replica no citoplasma).",biologia-fundamental-virus.md
54,virologia,Multiplicacao em Celulas Animais,Conceito,Onde os virus de RNA costumam se replicar dentro da celula?,"No citoplasma (excecao: Influenza e retrovirus, que precisam de etapas no nucleo).",biologia-fundamental-virus.md
55,virologia,Multiplicacao em Celulas Animais,Conceito,"Como o virus sai da celula, dependendo de ter ou nao envelope?","Virus envelopados saem por brotamento, sem romper a celula; virus nus saem rompendo a celula (lise) ou por exocitose.",biologia-fundamental-virus.md
56,virologia,Multiplicacao em Celulas Animais,Conceito,Como se chama o DNA de um retrovirus depois de integrado ao genoma da celula hospedeira?,Provirus (equivalente ao profago das bacterias).,VIROLOGIA_GERAL.md
57,virologia,Multiplicacao em Celulas Animais,Conceito,O que e o efeito citopatico de um virus?,"Dano visivel causado pela infeccao viral nas celulas, como morte celular, arredondamento ou fusao de celulas vizinhas (sincicio).",VIROLOGIA_GERAL.md
58,virologia,Multiplicacao em Celulas Animais,Conceito,"Alem do dano causado diretamente pelo virus, que outro mecanismo pode lesar o tecido numa infeccao viral?",Dano imunopatologico - o proprio sistema imune do hospedeiro ataca e lesiona as celulas infectadas.,VIROLOGIA_ESPECIAL_II_III.md
59,virologia,Multiplicacao em Celulas Animais,Conceito,O que e deriva antigenica (antigenic drift) do virus Influenza?,Acumulo de pequenas mutacoes nas proteinas de superficie do virus ao longo do tempo.,VIROLOGIA_GERAL.md
60,virologia,Multiplicacao em Celulas Animais,Conceito,"O que e mudanca antigenica (antigenic shift) do virus Influenza, e por que e mais perigosa?","Troca de segmentos inteiros do genoma quando dois virus Influenza diferentes infectam o mesmo hospedeiro, criando um virus novo com potencial pandemico.",VIROLOGIA_GERAL.md
61,virologia,Transmissao Defesa e Patogenese,Conceito,O que e patogenese?,O estudo dos mecanismos pelos quais uma doenca se desenvolve e progride.,VIROLOGIA_ESPECIAL_II_III.md
62,virologia,Transmissao Defesa e Patogenese,Conceito,Quais as etapas gerais do processo pelo qual um virus causa doenca?,"Entrada, disseminacao no organismo, invasao de tecidos, tropismo, liberacao/transmissao, e resposta imune do hospedeiro.",VIROLOGIA_ESPECIAL_II_III.md
63,virologia,Transmissao Defesa e Patogenese,Conceito,"O que e uma infeccao viral, em termos gerais?",O mecanismo biologico pelo qual o virus introduz e expressa seu material genetico dentro da celula hospedeira.,VIROLOGIA_ESPECIAL_II_III.md
64,virologia,Transmissao Defesa e Patogenese,Conceito,Toda infeccao viral causa sintomas?,Nao; muitas infeccoes sao subclinicas (assintomaticas).,VIROLOGIA_ESPECIAL_II_III.md
65,virologia,Transmissao Defesa e Patogenese,Conceito,"E possivel a mesma doenca ter mais de um virus causador, ou o mesmo virus causar mais de uma doenca?","Sim, nos dois sentidos - doencas como o resfriado comum tem varios virus causadores, e o mesmo virus pode gerar manifestacoes clinicas bem diferentes.",VIROLOGIA_ESPECIAL_II_III.md
66,virologia,Transmissao Defesa e Patogenese,Conceito,O desfecho clinico de uma infeccao viral depende so de caracteristicas do virus?,Nao; depende de fatores tanto do virus quanto do hospedeiro.,VIROLOGIA_ESPECIAL_II_III.md
67,virologia,Transmissao Defesa e Patogenese,Conceito,Quais as principais vias gerais de transmissao viral?,"Fecal-oral (agua/alimento contaminado), contato direto (sexual, sangue), e vetores/contato com animais (zoonose).",VIROLOGIA_ESPECIAL_II_III.md
68,virologia,Transmissao Defesa e Patogenese,Conceito,O que e transmissao vertical de um virus?,"Transmissao da mae para o feto, geralmente pela invasao do sangue materno (viremia) atingindo a placenta.",VIROLOGIA_ESPECIAL_II_III.md
69,virologia,Transmissao Defesa e Patogenese,Conceito,Quais os possiveis desfechos de uma infeccao viral fetal?,"Morte intrauterina, recuperacao sem sequelas, ou nascimento com malformacao ou infeccao ativa.",VIROLOGIA_ESPECIAL_II_III.md
70,virologia,Transmissao Defesa e Patogenese,Conceito,"Quais as quatro barreiras de defesa do hospedeiro contra virus, na ordem?","Barreiras anatomicas/quimicas (pele, muco), barreiras internas da propria celula, imunidade inata e imunidade adaptativa.",VIROLOGIA_ESPECIAL_II_III.md
71,virologia,Transmissao Defesa e Patogenese,Conceito,O que e tropismo viral?,"A preferencia de um virus por infectar certos tecidos ou celulas, e nao outros.",VIROLOGIA_ESPECIAL_II_III.md
72,virologia,Transmissao Defesa e Patogenese,Conceito,"O que e tropismo celular, e um exemplo?","Preferencia por um tipo especifico de celula dentro de um mesmo tecido (ex.: o HIV infecta certas celulas de defesa, mas nao neuronios).",VIROLOGIA_ESPECIAL_II_III.md
73,virologia,Transmissao Defesa e Patogenese,Conceito,"O que e tropismo tecidual, e um exemplo?",Preferencia por um tecido especifico (ex.: virus Influenza prefere o tecido respiratorio).,VIROLOGIA_ESPECIAL_II_III.md
74,virologia,Transmissao Defesa e Patogenese,Conceito,O que e tropismo de hospedeiro?,Preferencia por uma especie hospedeira especifica.,VIROLOGIA_ESPECIAL_II_III.md
75,virologia,Transmissao Defesa e Patogenese,Vinheta (estrutura),"Um virus consegue infectar coelhos ativamente, mas nao consegue infectar seres humanos. Que fenomeno biologico explica isso?",Tropismo de hospedeiro (ex.: virus do Mixoma).,VIROLOGIA_ESPECIAL_II_III.md
76,virologia,Fases e Padroes de Infeccao,Conceito,"Quais as fases clinicas gerais de uma infeccao viral, em ordem?","Pre-patente, incubacao, prodromo, sintomas definidos, fase patogenica e resolucao (ou morte).",VIROLOGIA_ESPECIAL_II_III.md
77,virologia,Fases e Padroes de Infeccao,Conceito,O que caracteriza o periodo pre-patente de uma infeccao viral?,"O virus ainda esta indetectavel, e a replicacao ainda nao comecou.",VIROLOGIA_ESPECIAL_II_III.md
78,virologia,Fases e Padroes de Infeccao,Conceito,"Durante o periodo de incubacao, o paciente ja pode transmitir o virus mesmo sem sintomas?",Sim.,VIROLOGIA_ESPECIAL_II_III.md
79,virologia,Fases e Padroes de Infeccao,Conceito,O que caracteriza o periodo prodromico de uma infeccao viral?,"Surgimento dos primeiros sintomas gerais e inespecificos (febre baixa, mal-estar, dor no corpo).",VIROLOGIA_ESPECIAL_II_III.md
80,virologia,Fases e Padroes de Infeccao,Conceito,"O que e uma infeccao viral aguda, e um exemplo?","Infeccao de curta duracao, eliminada rapidamente pelo sistema imune (ex.: Influenza).",VIROLOGIA_ESPECIAL_II_III.md
81,virologia,Fases e Padroes de Infeccao,Conceito,O que e uma infeccao viral persistente?,"O virus permanece no organismo por longos periodos - meses, anos ou a vida toda.",VIROLOGIA_ESPECIAL_II_III.md
82,virologia,Fases e Padroes de Infeccao,Conceito,"O que caracteriza uma infeccao cronica (um tipo de persistente), e exemplos?","Replicacao viral continua e ativa, mesmo que em nivel baixo (ex.: Hepatite B, HIV).",VIROLOGIA_ESPECIAL_II_III.md
83,virologia,Fases e Padroes de Infeccao,Conceito,"O que caracteriza uma infeccao latente (outro tipo de persistente), e um exemplo?","Ausencia de replicacao viral ativa na maior parte do tempo, com reativacoes periodicas (ex.: Herpes).",VIROLOGIA_ESPECIAL_II_III.md
84,virologia,Fases e Padroes de Infeccao,Conceito,"O que e uma infeccao lenta, como padrao de infeccao viral?","Replicacao viral silenciosa e progressiva ao longo de anos, causando sintomas graves so na fase final.",VIROLOGIA_ESPECIAL_II_III.md
85,virologia,Fases e Padroes de Infeccao,Conceito,"Qual o equivalente, em virus animais, do estado de lisogenia dos bacteriofagos?",Infeccao persistente (cronica ou latente).,VIROLOGIA_GERAL.md
86,virologia,Fases e Padroes de Infeccao,Conceito,"O que e transformacao celular viral, e por que ela importa clinicamente?","Quando o virus altera permanentemente o controle do ciclo celular do hospedeiro, podendo causar cancer.",VIROLOGIA_ESPECIAL_II_III.md
87,virologia,Fases e Padroes de Infeccao,Conceito,Quais virus humanos sao associados a cancer (oncovirus)?,"Epstein-Barr, Hepatite B, Hepatite C, HTLV-1, HPV, HIV.",VIROLOGIA_ESPECIAL_II_III.md
88,virologia,Antivirais Gerais,Conceito,Por que e dificil desenvolver antivirais sem efeitos colaterais fortes?,"Porque o virus depende da propria maquinaria da celula humana para se multiplicar, entao o remedio tende a afetar tambem a celula saudavel.",VIROLOGIA_ESPECIAL_II_III.md
89,virologia,Antivirais Gerais,Conceito,"De forma geral, quais os dois tipos de alvo que um antiviral pode atacar?","Uma funcao do proprio virus (ex.: uma enzima viral) ou uma funcao da celula que o virus precisa usar (ex.: um receptor de entrada).",VIROLOGIA_ESPECIAL_II_III.md
90,virologia,Antivirais Gerais,Conceito,Qual classe de antiviral bloqueia a entrada do virus na celula?,Inibidores de entrada/fusao.,VIROLOGIA_ESPECIAL_II_III.md
91,virologia,Antivirais Gerais,Conceito,Qual classe de antiviral impede o desnudamento do virus (liberacao do genoma dentro da celula)?,Inibidores de desnudamento (ex.: usados contra Influenza A).,VIROLOGIA_ESPECIAL_II_III.md
92,virologia,Antivirais Gerais,Conceito,"O que e a polimerase viral, e como os analogos de nucleosideo/nucleotideo a bloqueiam?","E a enzima que copia o material genetico do virus; os analogos ""enganam"" essa enzima e interrompem a copia.",VIROLOGIA_ESPECIAL_II_III.md
93,virologia,Antivirais Gerais,Conceito,"O que e a protease viral, e o que acontece quando um inibidor de protease a bloqueia?","Enzima que corta proteinas virais longas em pedacos funcionais menores; bloqueada, o virus sai da celula imaturo e nao infeccioso.",VIROLOGIA_ESPECIAL_II_III.md
94,virologia,Antivirais Gerais,Conceito,"O que e a integrase viral, e por que ela e alvo de antiviral?",Enzima que insere o DNA do virus no genoma da celula hospedeira; bloquea-la impede essa integracao.,VIROLOGIA_ESPECIAL_II_III.md
95,virologia,Antivirais Gerais,Conceito,"O que e a neuraminidase viral, e por que ela e alvo de antiviral (ex.: na Influenza)?","Enzima que ajuda os virus recem-formados a se soltarem da celula; sem ela, eles ficam presos na superficie celular.",VIROLOGIA_ESPECIAL_II_III.md
