ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
12,micologia,Estrutura Celular e Alvos,Conceito,"A celula fungica compartilha organelas basicas com a celula humana (nucleo, mitocondria etc.)?",Sim; a diferenca esta em tres estruturas exclusivas do fungo.,biologia-fundamental-fungos.md
13,micologia,Estrutura Celular e Alvos,Conceito,"Para que servem, de forma geral, essas tres estruturas exclusivas da celula fungica?","Sao alvos seletivos de medicamentos antifungicos, porque nao existem nas celulas humanas.",biologia-fundamental-fungos.md
14,micologia,Estrutura Celular e Alvos,Conceito,Quais as funcoes gerais da parede celular do fungo?,"Manter a forma da celula, proteger contra rompimento por choque osmotico, e apresentar antigenos que ativam a resposta imune do hospedeiro.",biologia-fundamental-fungos.md
15,micologia,Estrutura Celular e Alvos,Conceito,"Quais as tres camadas da parede celular do fungo, de fora para dentro?","Manoproteinas, beta-glucanas e quitina.",biologia-fundamental-fungos.md
16,micologia,Estrutura Celular e Alvos,Conceito,Qual camada da parede esta ligada a adesao do fungo aos tecidos e ao reconhecimento pelo sistema imune?,Manoproteinas (camada externa).,biologia-fundamental-fungos.md
17,micologia,Estrutura Celular e Alvos,Conceito,Qual camada da o arcabouco/sustentacao estrutural da parede celular do fungo?,Beta-glucanas (camada intermediaria).,biologia-fundamental-fungos.md
18,micologia,Estrutura Celular e Alvos,Conceito,Qual camada da rigidez e dureza mecanica a parede celular do fungo?,Quitina (camada mais interna).,biologia-fundamental-fungos.md
19,micologia,Estrutura Celular e Alvos,Conceito,"Qual classe de antifungico ataca a camada de beta-glucanas, enfraquecendo a parede?",Equinocandinas.,biologia-fundamental-fungos.md
20,micologia,Estrutura Celular e Alvos,Conceito,O que a membrana do fungo usa no lugar do colesterol (usado pelas celulas humanas)?,Ergosterol.,biologia-fundamental-fungos.md
21,micologia,Estrutura Celular e Alvos,Conceito,Quais duas classes de antifungicos tem o ergosterol como alvo?,Azolicos e polienos.,biologia-fundamental-fungos.md
22,micologia,Estrutura Celular e Alvos,Conceito,"Que estrutura extra, alem da parede celular, e a marca registrada do genero Cryptococcus?",Capsula polissacaridica.,biologia-fundamental-fungos.md
23,micologia,Estrutura Celular e Alvos,Conceito,Quais as duas funcoes da capsula do Cryptococcus?,Evitar a desidratacao do fungo e dificultar sua fagocitose pelas celulas de defesa (fator de virulencia).,biologia-fundamental-fungos.md
24,micologia,Estrutura Celular e Alvos,Vinheta (estrutura),"No exame direto com Tinta da China (Nanquim), um fungo aparece envolto por um halo claro sobre fundo escuro. Que estrutura fungica esse achado revela?",Capsula polissacaridica (marca registrada do Cryptococcus).,biologia-fundamental-fungos.md
25,micologia,Organizacao Morfologica,Conceito,Como as leveduras se multiplicam assexuadamente?,Por brotamento (gemulacao).,biologia-fundamental-fungos.md
26,micologia,Organizacao Morfologica,Conceito,Que marca fica na celula-mae da levedura apos o brotamento?,Cicatriz de brotamento.,biologia-fundamental-fungos.md
27,micologia,Organizacao Morfologica,Conceito,O que e uma pseudo-hifa?,Cadeia de celulas de levedura que brotaram mas nao se separaram completamente (comum em Candida).,biologia-fundamental-fungos.md
28,micologia,Organizacao Morfologica,Conceito,Qual a diferenca entre hifa cenocitica e hifa septada?,"Cenocitica: sem septos, citoplasma continuo com varios nucleos. Septada: tem septos, com poros que ainda permitem passagem de citoplasma entre os compartimentos.",biologia-fundamental-fungos.md
29,micologia,Organizacao Morfologica,Conceito,Qual a funcao do micelio vegetativo?,"Fica imerso no substrato; responsavel pela fixacao, digestao externa e absorcao de nutrientes.",biologia-fundamental-fungos.md
30,micologia,Organizacao Morfologica,Conceito,Qual a funcao do micelio reprodutivo (aereo)?,Projeta-se para fora do substrato e sustenta as estruturas que produzem esporos.,biologia-fundamental-fungos.md
31,micologia,Organizacao Morfologica,Conceito,O que diferencia a hifa de um fungo hialino da de um fungo demaceo?,"Hialino: hifa clara. Demaceo: hifa escura, por causa da melanina.",biologia-fundamental-fungos.md
32,micologia,Organizacao Morfologica,Conceito,A que tipo de micose cada um esta mais associado - fungo hialino e fungo demaceo?,Hialino: micoses superficiais/cutaneas. Demaceo: micoses subcutaneas.,biologia-fundamental-fungos.md
33,micologia,Organizacao Morfologica,Conceito,Qual a vantagem da melanina para o fungo demaceo?,Protecao contra radiacao UV e maior resistencia as defesas imunes do hospedeiro.,biologia-fundamental-fungos.md
34,micologia,Organizacao Morfologica,Conceito,O que e dimorfismo termico?,Capacidade de alternar entre forma filamentosa e forma de levedura conforme a temperatura.,biologia-fundamental-fungos.md
35,micologia,Organizacao Morfologica,Vinheta (estrutura),"Em cultura de laboratorio a 25 graus C, um fungo cresce como bolor filamentoso; no tecido do hospedeiro a 37 graus C, o mesmo fungo vira levedura unicelular. Que fenomeno biologico e esse?",Dimorfismo termico.,biologia-fundamental-fungos.md
36,micologia,Reproducao Assexuada,Conceito,"Como e a reproducao assexuada dos fungos, de forma geral?","Ocorre por mitose, sem fusao nuclear e sem variabilidade genetica, gerando esporos assexuados (propagulos).",biologia-fundamental-fungos.md
37,micologia,Reproducao Assexuada,Conceito,Os propagulos assexuados podem ser formados fora ou dentro do micelio. Como se chama cada categoria?,"Exogenos (formados fora, ex.: blastoconidio e conidio) e endogenos (formados dentro de uma estrutura fechada, ex.: esporangiosporo e artroconidio).",biologia-fundamental-fungos.md
38,micologia,Reproducao Assexuada,Conceito,O que e um blastoconidio?,Esporo formado por brotamento de uma celula ja existente (tipico de leveduras como Candida e Saccharomyces).,biologia-fundamental-fungos.md
39,micologia,Reproducao Assexuada,Conceito,O que e um conidio?,"Esporo formado livremente na ponta de uma hifa, sem saco protetor (tipico de Aspergillus e Penicillium).",biologia-fundamental-fungos.md
40,micologia,Reproducao Assexuada,Conceito,O que e um esporangiosporo?,"Esporo formado dentro de uma estrutura fechada em saco, o esporangio (tipico do Rhizopus).",biologia-fundamental-fungos.md
41,micologia,Reproducao Assexuada,Conceito,O que e um artroconidio?,"Esporo formado pela fragmentacao da propria hifa, de parede espessa, facilmente disperso pelo vento (tipico do Coccidioides).",biologia-fundamental-fungos.md
42,micologia,Reproducao Assexuada,Conceito,O que e um clamidoconidio?,"Celula de resistencia, de parede espessa, formada em condicao ambiental hostil (tipico da Candida albicans).",biologia-fundamental-fungos.md
43,micologia,Reproducao Sexuada e Filos,Conceito,"O que caracteriza a reproducao sexuada dos fungos, de forma geral?","Fusao de dois nucleos compativeis, em tres fases: plasmogamia, cariogamia e meiose.",biologia-fundamental-fungos.md
44,micologia,Reproducao Sexuada e Filos,Conceito,O criterio usado para classificar os fungos em filos taxonomicos e baseado em que?,Na morfologia e localizacao das estruturas sexuais.,biologia-fundamental-fungos.md
45,micologia,Reproducao Sexuada e Filos,Conceito,"Como se chama o esporo sexuado do filo Ascomycota, e onde ele se forma?","Ascosporo, formado dentro de uma estrutura em forma de saco chamada asco.",biologia-fundamental-fungos.md
46,micologia,Reproducao Sexuada e Filos,Conceito,Como se chama o corpo frutificante onde os ascos ficam organizados?,Ascocarpo.,biologia-fundamental-fungos.md
47,micologia,Reproducao Sexuada e Filos,Conceito,Qual o modo de reproducao assexuada do filo Ascomycota?,Producao de conidios.,biologia-fundamental-fungos.md
48,micologia,Reproducao Sexuada e Filos,Conceito,Qual a importancia clinica do filo Ascomycota?,E o filo mais importante da medicina - cerca de 85% dos fungos patogenos humanos.,biologia-fundamental-fungos.md
49,micologia,Reproducao Sexuada e Filos,Conceito,"Como se chama o esporo sexuado do filo Basidiomycota, e onde ele se forma?","Basidiosporo, formado na parte externa de uma estrutura em forma de clava chamada basidio.",biologia-fundamental-fungos.md
50,micologia,Reproducao Sexuada e Filos,Conceito,Que organismos macroscopicos conhecidos pertencem ao filo Basidiomycota?,"Cogumelos e ""orelhas-de-pau"".",biologia-fundamental-fungos.md
51,micologia,Reproducao Sexuada e Filos,Conceito,Qual a importancia clinica do filo Basidiomycota?,Seu principal representante patogenico e o genero Cryptococcus.,biologia-fundamental-fungos.md
52,micologia,Reproducao Sexuada e Filos,Conceito,"Como se chama o esporo sexuado do filo Zygomycota, e como ele se forma?","Zigosporo; forma-se pela fusao de duas hifas compativeis, dentro de uma estrutura resistente chamada zigosporangio.",biologia-fundamental-fungos.md
53,micologia,Reproducao Sexuada e Filos,Conceito,As hifas do filo Zygomycota sao de que tipo?,Obrigatoriamente cenociticas.,biologia-fundamental-fungos.md
54,micologia,Reproducao Sexuada e Filos,Conceito,Qual a importancia clinica do filo Zygomycota?,"Rhizopus e Mucor causam as zigomicoses, infeccoes graves em diabeticos descompensados ou imunocomprometidos.",biologia-fundamental-fungos.md
55,micologia,Reproducao Sexuada e Filos,Conceito,Qual a particularidade da reproducao do filo Chytridiomycota?,"Produz zoosporos com flagelos, que precisam de agua liquida livre para se dispersar.",biologia-fundamental-fungos.md
56,micologia,Reproducao Sexuada e Filos,Conceito,Qual a importancia clinica do filo Chytridiomycota?,"Nenhuma - sao fungos ambientais aquaticos ou parasitas de anfibios/plantas, sem patogenos humanos relevantes.",biologia-fundamental-fungos.md
